region,scoreNN1b,scoreNN2b,nMDT,nRPC,nTGC,nBOL,clusE,rms_clustime,mindR,isolation,MET_dphi
barrel,0.7684,0.6975,64,29,8,2,3.432,1.432,0.399,0.26,-1.878
barrel,0.8895,0.8959,52,33,8,4,6.27,2.192,0.566,0.227,2.966
barrel,0.7344,0.6796,54,30,2,5,9.622,0.735,0.331,0.232,1.501
barrel,0.9815,0.9528,70,31,6,2,2.445,1.774,0.508,0.154,-2.757
barrel,0.6559,0.7929,67,21,9,6,4.73,0.682,0.205,0.144,-1.323
barrel,0.8578,0.7344,57,39,7,4,7.89,1.638,0.242,0.301,-1.55
barrel,0.996,0.7765,60,33,13,8,2.711,1.393,0.417,0.261,1.268
barrel,0.8116,0.7071,70,39,10,4,7.928,1.962,0.478,0.267,-0.588
barrel,0.9175,0.9601,60,35,9,6,6.276,1.043,0.36,0.249,-1.752
barrel,0.641,0.7735,56,31,9,8,4.385,1.813,0.229,0.227,0.032
barrel,0.9254,0.6593,67,29,10,7,3.649,1.828,0.345,0.272,-0.06
barrel,0.6025,0.6278,53,29,10,5,0.785,1.836,0.232,0.216,-2.087
barrel,0.7783,0.6094,65,20,10,6,3.218,1.821,0.216,0.328,-2.329
barrel,0.9379,0.7611,55,23,13,5,9.565,2.126,0.449,0.246,2.086
barrel,0.5227,0.6566,61,34,5,4,3.684,2.017,0.384,0.325,-2.615
barrel,1.0,0.9504,64,34,14,2,4.298,1.897,0.429,0.141,0.569
barrel,0.9223,0.8891,50,19,13,6,3.455,2.682,0.179,0.184,1.8
barrel,0.6808,0.7406,57,24,7,5,6.953,1.59,0.173,0.142,-3.067
barrel,0.7458,0.8213,61,32,9,6,8.757,0.941,0.355,0.335,1.411
barrel,0.8414,0.6951,53,25,7,9,4.167,0.059,0.392,0.217,0.464
barrel,1.0,0.9317,50,23,7,4,0.964,0.973,0.2,0.211,-2.208
barrel,0.7667,0.8171,73,30,6,3,3.796,0.876,0.388,0.283,2.241
barrel,0.8327,0.5769,62,28,15,2,4.402,2.034,0.37,0.159,1.545
barrel,0.7556,0.6761,63,36,6,7,13.966,0.628,0.234,0.441,2.641
barrel,0.5406,0.5731,61,31,2,5,4.547,1.872,0.304,0.198,-0.82
barrel,0.4752,0.6882,59,24,10,6,6.16,1.004,0.442,0.051,2.204
barrel,0.6431,0.5375,71,23,8,4,8.488,2.315,0.299,0.096,-0.442
barrel,0.6134,0.6668,58,25,8,7,4.458,3.142,0.187,0.14,-1.16
barrel,0.7096,0.7596,70,26,10,9,9.518,1.772,0.285,0.322,-2.491
barrel,0.4222,0.6305,63,39,16,7,3.671,1.481,0.202,0.067,0.194
barrel,0.5112,0.4939,45,34,6,7,12.291,1.0,0.268,0.306,-2.392
barrel,0.5525,0.5269,59,31,7,5,7.633,1.359,0.322,0.214,-1.339
barrel,0.7725,0.6612,89,30,13,7,1.532,2.017,0.35,0.16,2.133
barrel,0.5444,0.625,49,26,5,2,8.787,1.851,0.248,0.225,-2.809
barrel,0.311,0.4283,55,42,10,9,7.121,0.867,0.416,0.325,-0.284
barrel,0.6511,0.6471,63,32,7,6,6.326,1.314,0.412,0.141,2.958
barrel,0.5614,0.3647,80,43,5,8,5.608,1.462,0.407,0.13,1.444
barrel,0.5121,0.4721,49,24,12,7,4.103,1.561,0.286,0.076,0.57
barrel,0.7659,0.5037,62,36,8,8,1.891,1.624,0.172,0.134,0.023
barrel,0.7528,0.7609,46,20,13,7,3.85,2.448,0.407,0.256,-1.999
barrel,0.9218,0.7363,45,43,13,4,5.655,1.847,0.342,0.252,2.944
barrel,0.6639,0.5055,51,38,13,6,2.551,1.776,0.371,0.277,0.06
barrel,0.5836,0.5887,61,30,9,7,3.932,2.049,0.339,0.285,-2.456
barrel,0.8352,0.665,58,28,5,5,2.855,2.211,0.231,0.187,1.794
barrel,0.9531,0.9511,71,30,10,11,3.457,1.639,0.367,0.19,2.918
barrel,0.7923,0.7641,56,30,14,4,5.557,1.183,0.39,0.261,1.307
barrel,0.441,0.5605,49,33,8,10,4.818,2.509,0.214,0.122,1.139
barrel,0.6844,0.6303,60,40,10,6,8.252,1.801,0.259,0.226,2.244
barrel,0.7231,0.7578,65,22,8,2,4.64,0.408,0.2,0.313,-1.561
barrel,0.6752,0.7619,55,33,14,8,8.552,2.4,0.303,0.262,2.317
barrel,0.8795,0.8234,52,27,9,10,10.24,0.897,0.334,0.215,-1.676
barrel,0.9466,0.8908,68,33,11,4,10.359,1.945,0.197,0.155,-1.531
barrel,0.8948,0.8218,66,28,10,7,3.726,1.786,0.575,0.047,-2.573
barrel,0.6974,0.7828,65,35,7,2,6.302,1.152,0.502,0.232,2.703
barrel,0.9581,0.9221,58,27,17,6,1.635,2.619,0.441,0.235,-0.779
barrel,0.5774,0.4295,58,38,2,3,8.656,1.485,0.236,0.234,2.815
barrel,0.5142,0.6131,55,40,5,7,9.767,0.926,0.243,0.18,-2.159
barrel,0.8749,0.8965,57,17,11,12,4.149,1.562,0.321,0.195,-1.076
barrel,0.8248,0.7111,52,26,7,7,8.497,1.633,0.486,0.212,-1.712
barrel,0.6746,0.6118,49,27,7,6,1.789,1.146,0.489,0.089,-1.713
barrel,0.2884,0.3534,57,37,5,5,4.251,2.202,0.319,0.201,2.68
barrel,0.773,0.7455,59,32,14,9,6.977,1.727,0.125,0.1,0.248
barrel,0.6325,0.6259,54,25,10,6,6.853,1.422,0.168,0.081,-1.426
barrel,0.6603,0.6001,45,23,6,5,2.684,1.433,0.182,0.039,-0.862
barrel,0.4995,0.4532,61,34,8,9,5.701,2.528,0.419,0.296,1.719
barrel,0.4956,0.5378,57,29,10,6,4.837,0.184,0.277,0.097,1.023
barrel,0.6403,0.6739,59,33,3,4,1.908,2.509,0.329,0.297,1.496
barrel,0.5516,0.6976,51,42,7,5,4.354,0.943,0.416,0.322,1.494
barrel,0.9634,0.8878,61,25,4,4,3.141,1.787,0.406,0.092,-2.301
barrel,0.8334,0.7826,49,27,7,3,4.241,1.464,0.188,0.236,-3.049
barrel,0.6974,0.7322,65,38,13,4,4.169,1.553,0.116,0.256,-2.771
barrel,0.7186,0.85,56,38,6,6,10.353,2.01,0.247,0.19,-1.116
barrel,0.8493,0.9587,58,37,4,7,5.831,2.283,0.2,0.247,0.675
barrel,0.613,0.628,68,36,8,5,2.615,1.48,0.23,0.227,2.412
barrel,0.923,0.8575,54,31,9,7,3.765,0.889,0.408,0.274,-2.067
barrel,0.6046,0.6721,63,30,4,7,10.409,1.839,0.26,0.18,2.089
barrel,1.0,1.0,65,33,9,5,6.133,1.559,0.295,0.303,0.314
barrel,0.9713,0.7243,56,31,9,2,2.02,1.588,0.239,0.395,-0.468
barrel,0.7942,0.7462,54,24,13,4,4.256,1.326,0.304,0.029,2.132
barrel,0.6368,0.8119,51,38,7,4,3.974,1.095,0.303,0.192,-1.893
barrel,0.639,0.9645,48,31,12,4,7.194,1.798,0.229,0.283,2.248
barrel,0.8726,0.9796,62,29,9,5,5.962,1.411,0.378,0.232,2.275
barrel,0.5848,0.7005,50,29,12,5,5.309,1.528,0.303,0.162,-2.942
barrel,0.7836,0.8422,58,35,8,10,1.655,0.168,0.259,0.369,-1.409
barrel,0.6082,0.5813,59,27,8,5,7.399,1.077,0.368,0.143,-1.273
barrel,0.626,0.634,51,30,9,9,18.478,2.202,0.209,0.099,-1.863
barrel,0.7995,0.7919,38,27,10,4,4.081,1.017,0.459,0.295,-0.29
barrel,0.6184,0.5922,58,33,7,4,3.441,0.86,0.277,0.163,3.017
barrel,0.7441,0.7817,38,21,11,6,6.114,1.001,0.305,0.289,-2.08
barrel,0.6671,0.6475,62,35,10,4,4.177,1.626,0.537,0.319,0.732
barrel,0.5433,0.5476,49,39,12,2,7.162,0.979,0.274,0.232,-2.628
barrel,0.5749,0.4543,55,28,13,4,6.789,1.979,0.344,0.188,2.868
barrel,0.574,0.3315,53,27,6,6,13.884,1.121,0.366,0.288,0.424
barrel,0.8559,0.7848,59,39,11,6,3.715,0.724,0.308,0.159,0.991
barrel,0.6951,0.7999,55,38,7,6,3.029,0.731,0.384,0.207,-1.71
barrel,0.5405,0.2915,53,24,9,5,12.373,0.786,0.411,0.305,-0.541
barrel,0.5226,0.4723,66,33,8,6,8.233,2.258,0.213,0.066,-1.687
barrel,0.9094,0.8399,56,41,10,3,14.42,1.369,0.288,0.274,-3.078
barrel,0.8581,0.7379,54,22,12,5,3.773,1.713,0.321,0.224,-0.545
barrel,0.8324,0.5561,52,21,11,6,1.598,1.124,0.348,0.194,0.093
barrel,0.8139,0.9449,66,22,5,9,6.341,1.102,0.348,0.286,1.988
barrel,0.9559,0.8694,61,31,9,3,4.399,1.165,0.186,0.193,2.146
barrel,0.7643,1.0,45,38,9,5,2.056,1.785,0.198,0.056,0.846
barrel,0.4808,0.2558,47,28,5,3,10.299,1.524,0.311,0.336,1.068
barrel,0.6427,0.3661,65,28,6,6,1.915,1.399,0.218,0.297,-0.932
barrel,0.5915,0.6848,50,29,12,11,18.303,1.182,0.17,0.317,2.629
barrel,0.6064,0.5687,59,34,8,7,7.001,1.824,0.388,0.239,2.34
barrel,1.0,0.9378,74,33,10,5,8.33,1.021,0.28,0.219,-2.143
barrel,0.5269,0.3332,48,47,9,7,3.835,0.866,0.273,0.249,1.402
barrel,0.8505,0.9845,63,31,9,6,1.558,2.442,0.192,0.316,-3.046
barrel,0.6677,0.9948,64,32,9,3,1.824,0.829,0.312,0.345,-0.424
barrel,0.5339,0.5457,63,34,8,9,2.588,2.595,0.309,0.321,2.26
barrel,0.5971,0.83,65,24,8,9,15.761,1.087,0.362,0.149,0.629
barrel,0.8133,0.6215,58,19,14,9,4.052,1.853,0.147,0.195,-0.598
barrel,0.8708,0.8035,65,33,7,5,8.897,1.072,0.252,0.239,-0.617
barrel,0.5995,0.8139,61,31,5,8,6.395,2.814,0.292,0.201,2.421
barrel,0.8907,0.8664,76,27,7,7,9.341,0.808,0.374,0.185,0.301
barrel,0.9659,1.0,59,41,8,10,14.619,2.481,0.182,0.369,0.343
barrel,0.5479,0.4637,67,33,12,10,16.308,1.786,0.335,0.08,-1.303
barrel,0.8782,0.9647,71,33,11,6,9.548,1.085,0.212,0.059,1.538
barrel,0.8742,0.7954,54,20,9,4,11.251,0.412,0.401,0.357,-2.564
barrel,0.5836,0.5307,60,34,7,7,5.805,2.249,0.33,0.214,0.008
barrel,0.5605,0.3427,51,37,16,6,5.736,0.317,0.329,0.162,-1.232
barrel,0.7945,0.7023,59,30,8,9,6.293,0.82,0.225,0.04,-1.354
barrel,0.9746,1.0,69,29,8,5,3.02,1.002,0.229,0.292,2.868
barrel,0.6246,0.6218,67,32,16,7,3.618,1.473,0.39,0.185,-0.838
barrel,0.312,0.3213,66,33,9,5,11.719,2.224,0.401,0.154,-2.378
barrel,0.8321,0.6456,72,31,5,9,6.666,2.682,0.367,0.102,0.986
barrel,0.6622,0.8874,69,28,8,6,1.874,2.192,0.508,0.282,0.457
barrel,0.8807,0.8906,44,26,10,1,2.429,1.165,0.059,0.053,-1.455
barrel,0.8425,0.7032,61,31,7,9,15.408,1.047,0.275,0.113,1.21
barrel,0.6891,0.813,61,33,10,6,14.374,2.514,0.279,0.109,-2.653
barrel,0.9051,0.7009,60,23,6,10,2.127,1.952,0.299,0.12,1.611
barrel,0.7541,0.8406,56,36,12,7,7.381,0.794,0.304,0.19,-1.33
barrel,0.674,0.8193,68,35,13,5,6.474,2.037,0.334,0.157,-2.131
barrel,0.6711,0.7345,58,28,4,7,8.876,0.565,0.254,0.083,-2.737
barrel,0.6141,0.7488,64,35,12,5,9.835,0.392,0.277,0.217,1.489
barrel,0.7632,0.7417,53,37,9,4,13.081,1.372,0.288,0.033,0.763
barrel,0.7164,0.7117,57,27,6,6,10.937,1.402,0.285,0.146,-2.011
barrel,0.7735,0.9733,46,22,12,6,2.804,1.591,0.235,0.127,2.624
barrel,0.6466,0.7023,64,35,12,5,9.492,1.595,0.362,0.156,-1.366
barrel,0.8285,0.9186,58,23,6,8,3.692,2.244,0.467,0.297,0.592
barrel,0.4709,0.3939,61,27,5,5,5.995,1.236,0.419,0.267,-1.803
barrel,0.798,0.8152,67,28,12,2,5.278,0.945,0.406,0.191,0.202
barrel,0.6004,0.5191,46,27,10,4,5.026,2.325,0.247,0.197,-2.739
barrel,0.69,0.8766,63,19,9,7,9.132,1.548,0.298,0.267,0.657
barrel,1.0,0.8539,54,32,11,6,4.249,2.409,0.455,0.125,0.901
barrel,0.4983,0.4562,68,25,9,8,1.371,1.464,0.226,0.106,-1.957
barrel,1.0,0.8836,65,32,10,5,5.16,1.891,0.112,0.233,1.228
barrel,0.7456,0.7409,56,26,9,4,2.401,1.55,0.309,0.151,-2.626
barrel,0.9573,0.8313,51,30,15,5,6.117,1.214,0.195,0.264,0.274
barrel,0.7336,0.6152,73,21,5,6,12.155,1.031,0.402,0.276,1.252
barrel,0.7343,0.788,71,28,8,7,2.34,1.131,0.412,0.251,-0.066
barrel,0.6921,0.6564,49,30,12,4,3.31,1.198,0.366,0.214,1.667
barrel,0.4447,0.5507,57,24,17,5,6.917,1.502,0.228,0.179,-1.225
barrel,0.5213,0.3742,54,29,11,9,26.503,1.857,0.222,0.069,-0.338
barrel,0.8908,0.9374,59,39,10,7,6.017,0.493,0.272,0.141,0.538
barrel,0.9536,0.9488,52,33,14,12,1.655,2.176,0.194,0.147,2.449
barrel,0.8759,0.6939,53,33,7,12,3.136,1.704,0.374,0.182,0.813
barrel,0.902,1.0,48,25,10,4,5.792,2.068,0.279,0.089,-0.825
barrel,0.9433,0.8675,72,29,12,9,13.182,2.288,0.395,0.188,2.595
barrel,0.3598,0.3348,53,30,7,7,6.787,1.824,0.374,0.203,-0.228
barrel,0.2637,0.4546,55,31,8,8,2.154,1.43,0.314,0.149,-2.619
barrel,0.6011,0.7576,55,33,6,6,2.209,1.935,0.333,0.093,-0.618
barrel,0.8243,0.8816,81,28,13,5,8.322,0.655,0.19,0.279,-2.426
barrel,0.7458,0.671,54,35,11,7,8.526,0.056,0.288,0.169,-2.722
barrel,0.368,0.3749,68,24,10,8,3.252,0.748,0.293,0.233,2.467
barrel,0.7121,0.7485,69,31,10,4,9.985,1.974,0.24,0.102,0.389
barrel,0.7609,0.8778,63,21,12,9,3.176,0.808,0.296,0.39,-3.115
barrel,0.697,0.5754,77,36,12,4,4.758,1.761,0.114,0.25,2.589
barrel,1.0,0.8799,61,23,9,9,7.731,2.474,0.372,0.286,-0.16
barrel,0.591,0.6713,67,39,11,6,10.214,0.462,0.24,0.191,-2.883
barrel,0.826,0.8237,56,21,11,5,5.706,0.823,0.285,0.208,-1.772
barrel,0.5905,0.5675,54,23,9,3,10.461,1.871,0.33,0.355,2.624
barrel,1.0,1.0,51,18,10,2,7.238,1.509,0.152,0.349,-1.605
barrel,0.6594,0.7778,60,30,9,8,4.748,1.142,0.151,0.195,1.574
barrel,0.3194,0.3533,56,37,9,12,4.506,2.025,0.165,0.269,-2.231
barrel,0.7031,0.6416,56,30,6,4,9.304,1.605,0.325,0.094,2.023
barrel,0.7734,0.7147,57,24,11,3,4.0,1.406,0.369,0.287,-2.882
barrel,0.6411,0.4137,67,33,4,3,7.885,1.642,0.269,0.089,1.202
barrel,0.5418,0.4236,50,33,15,8,4.847,1.93,0.475,0.398,-2.157
barrel,0.9394,0.926,63,37,14,3,5.892,1.656,0.216,0.308,-0.342
barrel,0.9529,0.7202,54,37,6,12,8.581,1.068,0.362,0.222,-0.914
barrel,0.6609,0.72,58,35,6,8,3.98,0.962,0.211,0.129,2.239
barrel,0.7392,0.7626,78,34,6,8,4.639,0.606,0.248,0.259,-1.424
barrel,0.8349,0.7812,58,27,10,6,4.565,1.252,0.177,0.186,-0.525
barrel,0.7515,0.7269,70,33,12,4,5.207,0.395,0.352,0.184,-1.211
barrel,0.5994,0.8113,55,23,8,5,4.184,0.775,0.426,0.462,2.952
barrel,0.7705,0.5411,69,27,6,5,9.546,0.59,0.406,0.313,2.577
barrel,0.8579,0.9732,48,32,3,8,4.896,1.685,0.336,0.153,3.002
barrel,1.0,0.88,62,24,3,5,5.605,1.607,0.404,0.145,-2.991
barrel,0.9172,0.8998,66,26,9,4,2.354,0.808,0.351,0.088,-2.942
barrel,0.8546,0.7328,74,37,11,6,6.678,1.132,0.265,0.189,-2.913
barrel,0.6537,0.6246,54,28,11,8,10.736,1.196,0.359,0.149,0.317
barrel,0.5986,0.3934,45,36,9,9,8.262,1.605,0.313,0.099,2.529
barrel,0.9548,0.931,52,38,17,13,1.246,1.812,0.169,0.284,-1.414
barrel,0.8376,0.8514,56,29,14,9,8.954,3.119,0.232,0.354,0.325
barrel,0.7027,0.591,53,36,5,6,8.936,1.842,0.303,0.245,-0.29
barrel,0.4045,0.4147,53,22,11,7,3.442,2.9,0.382,0.135,-1.187
barrel,0.605,0.9327,54,32,8,10,4.538,2.198,0.404,0.075,-1.546
barrel,0.5996,0.5212,55,38,9,11,3.15,2.176,0.299,0.172,-0.071
barrel,0.9379,0.9998,67,38,8,8,5.948,0.675,0.222,0.171,2.512
barrel,0.9464,0.7564,55,36,11,6,11.005,1.112,0.157,0.069,-0.864
barrel,0.7879,0.8477,55,29,6,3,7.618,1.778,0.176,0.146,1.833
barrel,0.7131,0.6625,57,26,10,11,7.186,0.182,0.476,0.389,-1.406
barrel,0.6138,0.6872,61,31,8,8,1.825,2.7,0.274,0.012,-1.202
barrel,0.7678,0.8826,63,25,9,4,18.37,1.03,0.278,0.165,2.174
barrel,0.835,0.8481,49,28,4,3,6.532,1.467,0.293,0.15,2.376
barrel,0.6786,0.772,54,34,5,7,22.232,2.545,0.331,0.169,2.719
barrel,0.8844,0.6542,64,30,10,4,6.943,2.541,0.317,0.152,3.03
barrel,0.8472,0.9495,61,29,8,7,2.776,0.63,0.307,0.216,0.457
barrel,0.779,0.6665,57,25,10,6,5.241,2.539,0.233,0.292,0.019
barrel,0.9298,0.8213,59,26,11,4,3.939,1.963,0.185,0.113,0.221
barrel,0.5541,0.4362,54,30,11,4,2.091,1.765,0.367,0.286,-1.968
barrel,0.69,0.715,60,35,15,8,2.915,0.653,0.457,0.331,0.961
barrel,0.6562,0.5957,59,33,9,5,4.695,1.832,0.125,0.118,0.134
barrel,0.8078,0.8746,59,40,11,4,7.305,2.185,0.292,0.136,-2.07
barrel,1.0,1.0,46,35,6,5,10.906,1.163,0.155,0.285,1.554
barrel,0.7446,0.8373,56,29,11,10,2.964,1.643,0.395,0.134,3.048
barrel,0.7053,0.7154,58,29,8,9,5.705,2.244,0.227,0.267,-1.582
barrel,0.9199,0.7757,58,30,9,12,2.865,1.339,0.298,0.245,-2.802
barrel,0.5693,0.5391,64,35,9,8,7.377,2.307,0.024,0.216,2.883
barrel,0.6686,0.686,56,21,10,2,3.574,1.699,0.159,0.292,-1.561
barrel,0.6089,0.7765,69,23,4,6,12.409,1.205,0.419,0.129,1.633
barrel,0.6678,0.656,68,29,3,5,3.452,1.386,0.29,0.137,-0.15
barrel,0.5224,0.4212,60,19,11,6,5.862,1.989,0.509,0.285,0.434
barrel,0.7787,1.0,39,24,10,6,8.056,1.512,0.317,0.172,2.858
barrel,0.8319,0.7239,57,24,14,6,1.324,1.397,0.076,0.203,1.373
barrel,0.9524,0.8303,67,32,11,7,5.903,2.385,0.287,0.278,1.484
barrel,0.8289,0.6767,63,39,6,8,8.031,2.072,0.368,0.167,1.765
barrel,0.5673,0.7108,53,39,9,6,3.251,1.375,0.3,0.308,-2.194
barrel,0.6528,0.8828,53,27,9,8,1.711,1.467,0.192,0.192,0.288
barrel,0.6223,0.5434,65,31,7,7,8.671,1.474,0.345,0.205,-2.531
barrel,0.9165,0.831,61,37,9,3,8.165,1.98,0.211,0.204,-1.135
barrel,0.8149,0.6111,52,37,8,8,5.821,1.051,0.366,0.311,-2.766
barrel,0.559,0.5448,51,24,12,9,8.328,2.188,0.352,0.19,2.271
barrel,0.713,0.554,55,30,10,8,2.67,0.327,0.318,0.149,2.198
barrel,0.6232,0.6952,67,34,10,5,1.958,1.483,0.264,0.182,1.06
barrel,0.9204,0.9653,48,33,8,4,2.681,1.579,0.398,0.153,0.77
barrel,0.7521,0.7208,63,27,12,4,3.381,1.779,0.291,0.233,0.81
barrel,0.9938,0.8488,67,32,8,2,2.633,0.815,0.37,0.287,-2.001
barrel,0.784,0.8639,55,28,8,10,12.761,1.394,0.379,0.191,-1.611
barrel,0.6144,0.6281,59,25,10,3,4.264,1.595,0.18,0.251,-0.362
barrel,0.9369,0.9305,63,24,7,8,8.654,1.169,0.275,0.276,-0.673
barrel,0.7035,0.7303,66,26,8,2,1.519,2.299,0.385,0.232,-2.297
barrel,0.6682,0.7562,47,28,5,3,4.882,2.114,0.283,0.168,0.21
barrel,0.2758,0.2782,67,32,8,5,3.492,1.031,0.35,0.259,-2.539
barrel,0.7085,0.6324,53,28,8,4,3.901,1.091,0.038,0.062,1.272
barrel,0.7831,0.9211,60,39,11,6,2.265,2.316,0.291,0.18,0.452
barrel,0.8162,0.8433,53,35,7,7,3.41,0.922,0.269,0.245,1.718
barrel,1.0,0.9311,48,33,9,2,11.62,0.877,0.28,0.079,-0.898
barrel,0.5422,0.719,57,30,12,5,1.761,1.248,0.463,0.157,-1.373
barrel,0.7794,0.794,50,23,5,6,5.621,2.273,0.318,0.12,1.462
barrel,0.6081,0.4433,62,29,11,4,2.802,2.222,0.285,0.165,-0.883
barrel,0.8687,0.7357,60,29,6,7,7.663,1.033,0.196,0.214,-0.803
barrel,0.9985,0.6794,69,24,10,8,9.164,1.616,0.234,0.084,-2.789
barrel,0.8123,0.8829,51,12,8,3,4.713,1.336,0.192,0.271,-0.598
barrel,0.4155,0.6348,61,37,7,4,4.542,2.162,0.49,0.135,3.096
barrel,0.9187,0.9443,67,20,7,6,7.94,1.074,0.294,0.194,-2.338
barrel,0.8617,0.8758,52,23,7,6,5.386,1.51,0.237,0.174,-2.551
barrel,1.0,0.8595,59,31,18,5,5.915,0.894,0.264,0.349,0.899
barrel,0.8783,0.6851,51,28,9,7,8.27,2.279,0.318,0.223,-0.135
barrel,0.4029,0.2483,80,31,6,4,15.798,1.388,0.307,0.093,0.121
barrel,0.8103,0.9657,52,30,11,7,8.196,0.497,0.517,0.174,1.699
barrel,0.5828,0.5501,62,26,8,3,4.85,1.356,0.265,0.171,0.29
barrel,0.3878,0.2982,66,31,6,13,5.576,2.904,0.289,0.161,2.119
barrel,0.708,0.9615,40,29,5,4,3.533,1.225,0.237,0.19,-0.428
barrel,0.7169,0.8124,63,34,7,6,12.351,1.956,0.295,0.174,2.682
barrel,0.8196,0.8002,56,34,10,1,7.335,1.13,0.114,0.088,2.588
barrel,0.7998,0.8928,63,33,4,5,3.518,1.508,0.482,0.182,-1.579
barrel,0.6785,0.6093,67,34,9,7,2.051,0.863,0.219,0.102,-0.516
barrel,0.4186,0.3914,65,36,12,2,3.755,1.597,0.231,0.184,1.518
barrel,0.7586,0.9075,67,35,4,5,2.671,1.585,0.406,0.334,-0.289
barrel,0.5955,0.5034,57,22,10,6,6.515,1.771,0.282,0.22,2.003
barrel,0.7057,0.7742,57,19,13,4,4.847,0.659,0.212,0.149,2.093
barrel,0.7577,0.7817,50,28,8,11,11.419,1.435,0.262,0.266,0.217
barrel,0.9393,0.9475,67,25,9,3,3.021,2.263,0.223,0.166,0.205
barrel,0.8328,0.6929,47,25,10,6,3.42,0.826,0.303,0.195,-1.206
barrel,0.7002,0.7673,54,27,8,8,5.391,1.699,0.37,0.333,-0.27
barrel,0.6067,0.6756,56,27,12,9,4.505,0.36,0.324,0.276,-2.241
barrel,0.663,0.9787,58,30,7,10,3.573,1.513,0.402,0.116,0.159
barrel,0.8407,0.8452,49,27,10,6,7.514,1.895,0.199,0.224,0.989
barrel,0.4936,0.4263,55,22,6,4,5.429,1.247,0.086,0.24,-0.619
barrel,0.8447,0.9101,62,37,4,7,7.984,1.644,0.174,0.347,-0.888
barrel,0.4092,0.4815,64,30,15,6,15.866,1.708,0.365,0.194,0.828
barrel,0.9345,0.7667,60,35,8,2,0.73,1.735,0.341,0.248,-0.779
barrel,0.6896,0.5514,51,26,7,4,1.642,1.683,0.271,0.212,-0.487
barrel,1.0,0.8519,49,29,11,4,2.405,0.588,0.307,0.296,2.036
barrel,0.7974,0.5045,64,25,5,10,1.765,2.652,0.415,0.231,-1.5
barrel,0.7423,0.7829,64,26,14,8,12.742,1.351,0.339,0.339,-2.019
barrel,0.708,0.7559,60,39,10,6,4.63,0.626,0.234,0.253,0.727
barrel,0.7471,0.8608,63,31,11,4,7.757,1.682,0.173,0.308,1.133
barrel,0.9539,0.8172,74,27,6,1,8.564,1.783,0.262,0.072,-3.052
barrel,0.7912,0.8526,53,29,11,9,6.693,2.371,0.24,0.239,1.307
