region,scoreNN1b,scoreNN2b,nMDT,nRPC,nTGC,nBOL,clusE,rms_clustime,mindR,isolation,MET_dphi
barrel,0.3328,0.4677,27,16,9,9,5.001,1.458,0.279,0.191,-0.525
barrel,0.4571,0.68,26,13,9,8,5.179,2.031,0.348,0.339,2.704
barrel,0.5871,0.321,26,10,5,4,8.565,1.47,0.199,0.046,-0.052
barrel,0.0938,0.5897,27,15,5,4,8.142,1.789,0.453,0.29,0.952
barrel,0.2113,0.4395,26,21,6,6,1.962,1.706,0.207,0.235,2.84
barrel,0.4269,0.6399,26,13,7,5,6.263,1.353,0.226,0.192,1.922
barrel,0.3969,0.2617,24,9,10,8,5.208,1.645,0.311,0.17,-1.857
barrel,0.645,0.0512,31,20,9,3,7.058,1.025,0.256,0.108,-0.348
barrel,0.3695,0.5981,32,5,7,6,12.3,0.793,0.186,0.24,-2.494
barrel,0.325,0.3779,23,18,8,7,4.726,2.256,0.365,0.273,1.107
barrel,0.3348,0.6612,23,15,5,9,5.474,0.549,0.184,0.19,2.303
barrel,0.5177,0.4244,18,11,12,6,2.642,1.594,0.291,0.137,-1.36
barrel,0.6183,0.334,23,15,8,4,6.751,1.398,0.15,0.123,0.039
barrel,0.3869,0.5112,29,12,10,7,9.698,1.993,0.299,0.247,1.943
barrel,0.5759,0.1911,37,16,13,2,2.908,1.78,0.259,0.26,1.02
barrel,0.2253,0.1303,27,19,8,3,4.691,1.986,0.323,0.073,-1.992
barrel,0.0704,0.0111,36,14,11,7,4.58,0.999,0.399,0.214,0.561
barrel,0.1708,0.4642,25,7,10,8,13.206,2.123,0.331,0.21,-2.733
barrel,0.5027,0.5685,25,11,4,6,2.286,1.022,0.391,0.181,-1.834
barrel,0.1812,0.0168,22,20,4,7,3.015,1.226,0.301,0.237,-0.387
barrel,0.7396,0.5615,33,13,10,3,8.927,1.929,0.315,0.374,-0.145
barrel,0.7074,0.3012,40,16,8,5,3.663,0.78,0.417,0.126,-2.152
barrel,0.5005,0.3064,24,11,6,3,11.784,1.624,0.443,0.14,-0.244
barrel,0.7562,0.5507,21,7,10,5,5.536,2.322,0.4,0.232,-2.566
barrel,0.1703,0.3638,29,15,5,5,7.175,2.312,0.275,0.119,0.664
barrel,0.686,0.7194,21,20,11,5,9.43,2.113,0.321,0.123,-1.454
barrel,0.3852,0.5329,23,12,9,7,1.398,0.765,0.427,0.29,-1.785
barrel,0.398,0.2595,34,12,9,6,5.829,1.094,0.323,0.166,2.634
barrel,0.5168,0.2386,36,18,14,3,9.129,1.408,0.261,0.193,0.915
barrel,0.6245,0.2314,31,20,8,5,3.859,0.922,0.262,0.171,-2.052
barrel,0.4716,0.3245,25,15,10,3,4.84,1.331,0.212,0.275,-0.387
barrel,0.2666,0.6014,27,10,12,5,6.462,1.446,0.067,0.159,-1.067
barrel,0.1792,0.3886,42,13,6,5,7.078,1.688,0.234,0.365,0.988
barrel,0.1899,0.5822,27,15,9,5,3.531,2.204,0.405,0.314,1.289
barrel,0.2066,0.1963,32,13,6,8,4.763,0.207,0.186,0.165,-1.144
barrel,0.2807,0.4633,30,13,6,4,3.469,0.779,0.418,0.15,0.413
barrel,0.5661,0.2188,24,16,5,6,6.801,1.931,0.109,0.34,2.643
barrel,0.13,0.2055,29,15,5,7,2.688,0.922,0.39,0.387,0.936
barrel,0.5197,0.5901,32,10,6,7,8.317,1.713,0.389,0.149,-1.801
barrel,0.7008,0.7963,24,14,8,7,2.052,1.923,0.399,0.225,2.978
barrel,0.2307,0.1783,19,8,11,3,4.148,1.615,0.225,0.145,0.457
barrel,0.6718,0.2863,31,18,8,7,4.425,1.302,0.331,0.187,-2.6
barrel,0.3753,0.2423,27,9,12,6,4.097,2.3,0.351,0.24,-2.454
barrel,0.4679,0.3524,36,12,13,6,7.246,1.879,0.066,0.234,0.478
barrel,0.4736,0.8713,26,15,8,14,4.323,1.625,0.075,0.239,-0.197
barrel,0.2988,0.6818,22,12,5,8,5.937,1.875,0.334,0.102,3.14
barrel,0.1814,0.32,28,18,5,9,3.541,1.366,0.471,0.24,0.341
barrel,0.6552,0.3776,27,10,4,9,1.426,2.583,0.221,0.133,1.544
barrel,0.7697,0.5649,37,14,6,1,4.59,0.859,0.358,0.242,2.725
barrel,0.032,0.2375,23,12,11,4,3.547,0.63,0.245,0.234,2.912
barrel,0.2384,0.4346,28,11,6,5,2.654,1.212,0.227,0.272,2.25
barrel,0.1287,0.4603,27,17,8,4,5.061,1.107,0.058,0.261,-0.33
barrel,0.7604,0.4967,24,11,11,11,4.566,1.319,0.33,0.167,3.125
barrel,0.7131,0.1147,30,19,4,5,7.389,0.829,0.281,0.134,-0.315
barrel,0.2865,0.1398,30,12,14,4,2.805,1.41,0.226,0.173,2.193
barrel,0.5071,0.4335,24,16,9,5,1.955,0.373,0.391,0.102,-2.02
barrel,0.4224,0.6143,30,14,7,5,9.332,1.146,0.501,0.14,2.176
barrel,0.6137,0.539,30,15,9,8,5.209,1.734,0.25,0.102,2.435
barrel,0.6558,0.2735,29,11,7,4,7.615,1.477,0.252,0.01,-3.104
barrel,0.3673,0.0292,31,9,7,6,10.749,0.688,0.287,0.216,-2.389
barrel,0.8557,0.4935,29,19,8,8,6.453,1.23,0.364,0.327,2.426
barrel,0.2616,0.1971,36,17,9,9,3.368,2.247,0.333,0.319,2.897
barrel,0.086,0.2955,28,7,10,8,5.542,0.257,0.194,0.153,1.224
barrel,0.4154,0.3513,20,17,12,8,3.949,2.44,0.184,0.261,-0.551
barrel,0.361,0.2904,23,10,5,11,5.328,1.533,0.215,0.165,2.23
barrel,0.2314,0.6864,35,11,12,8,12.024,2.144,0.275,0.335,-1.314
barrel,0.3776,0.172,29,10,11,10,6.058,2.098,0.39,0.238,1.592
barrel,0.2228,0.8815,32,18,11,6,2.279,0.503,0.339,0.2,-2.558
barrel,0.2266,0.3686,27,13,7,3,8.437,1.235,0.382,0.142,-2.546
barrel,0.6823,0.3384,26,17,7,7,1.963,2.564,0.414,0.132,-2.389
barrel,0.7681,0.7029,27,9,14,9,3.967,1.796,0.283,0.387,0.568
barrel,0.7497,0.2844,26,17,15,5,12.824,0.524,0.258,0.124,-0.724
barrel,0.2974,0.0457,27,19,6,3,4.392,0.001,0.355,0.198,2.689
barrel,0.3429,0.3207,38,13,13,4,3.205,1.956,0.196,0.141,0.752
barrel,0.3106,0.2566,22,16,5,9,16.223,1.824,0.287,0.088,-2.08
barrel,0.3353,0.7189,22,16,14,4,1.669,1.427,0.361,0.262,2.902
barrel,0.9035,0.6646,31,16,12,5,7.083,1.022,0.442,0.319,-1.517
barrel,0.4002,0.3301,21,18,11,5,3.096,1.2,0.26,0.21,-0.648
barrel,0.4643,0.1347,21,17,12,7,3.803,1.616,0.304,0.235,-2.339
barrel,0.1737,0.4331,33,7,2,6,5.993,2.873,0.295,0.28,-0.254
barrel,0.4436,0.1886,19,11,8,9,2.796,1.352,0.278,0.149,-1.009
barrel,0.402,0.2568,24,16,9,9,5.423,2.82,0.476,0.142,-2.649
barrel,0.2884,0.3347,36,8,11,8,10.08,1.405,0.552,0.172,0.981
barrel,0.3262,0.172,26,11,8,8,2.917,1.345,0.507,0.186,-3.084
barrel,0.4346,0.3738,35,13,10,5,4.767,2.23,0.36,0.284,1.498
barrel,0.7454,0.3837,29,8,6,7,6.371,2.391,0.284,0.215,0.002
barrel,0.2034,0.7195,25,13,12,6,9.97,2.238,0.322,0.156,-1.092
barrel,0.2383,0.0364,23,12,6,2,5.727,2.305,0.318,0.273,-2.038
barrel,0.3466,0.5236,27,14,8,4,4.146,1.535,0.478,0.166,0.102
barrel,0.6158,0.723,28,17,6,7,2.657,1.417,0.34,0.256,2.608
barrel,0.3101,0.0227,23,13,10,5,9.249,1.497,0.356,0.202,-1.588
barrel,0.119,0.1913,20,14,7,10,13.653,1.73,0.398,0.103,2.547
barrel,0.7047,0.4672,26,8,9,3,5.983,1.068,0.197,0.289,-0.222
barrel,0.3643,0.2479,29,15,17,5,1.907,2.165,0.412,0.203,1.718
barrel,0.3007,0.1842,33,8,7,8,3.626,2.523,0.451,0.234,-2.269
barrel,0.8543,0.3448,20,12,10,4,3.998,1.887,0.47,0.179,-1.262
barrel,0.0983,0.5769,30,10,10,5,4.472,0.896,0.238,0.141,1.912
barrel,0.529,0.4697,28,14,9,8,4.37,2.442,0.145,0.151,-2.811
barrel,0.3512,0.1665,16,13,9,5,7.554,0.805,0.125,0.159,1.703
barrel,0.1127,0.163,37,14,8,10,2.361,1.394,0.26,0.237,-0.238
barrel,0.534,0.1391,27,13,7,4,3.18,1.79,0.366,0.197,-2.249
barrel,0.3065,0.6557,31,14,9,7,0.888,1.401,0.276,0.144,-1.652
barrel,0.7951,0.6252,28,20,6,5,5.603,1.167,0.48,0.213,-2.426
barrel,0.2581,0.5329,19,10,8,9,4.166,0.781,0.309,0.307,1.807
barrel,0.5004,0.1395,28,19,8,6,10.951,1.746,0.341,0.351,-2.361
barrel,0.3305,0.6358,27,14,8,3,2.26,2.455,0.33,0.158,0.205
barrel,0.6659,0.7245,29,8,6,5,2.681,1.973,0.336,0.097,-1.692
barrel,0.1074,0.4743,23,13,13,6,12.282,2.457,0.422,0.077,-0.133
barrel,0.4006,0.4838,23,14,8,5,1.126,0.089,0.386,0.183,2.637
barrel,0.4674,0.5876,23,10,12,2,4.278,1.593,0.319,0.22,0.703
barrel,0.4831,0.6161,32,20,14,9,7.36,1.164,0.456,0.34,-2.826
barrel,0.3685,0.1211,26,10,6,4,4.608,1.957,0.302,0.172,-0.306
barrel,0.0166,0.4199,24,10,9,7,4.72,2.227,0.318,0.311,-2.783
barrel,0.1135,0.3339,23,23,14,4,4.439,1.315,0.487,0.202,-1.277
barrel,0.2639,0.1427,39,14,8,8,10.296,1.381,0.212,0.247,3.091
barrel,0.5465,0.6915,22,15,13,6,2.808,0.461,0.284,0.153,2.856
barrel,0.1361,0.0471,40,18,10,2,0.827,1.257,0.235,0.247,0.416
barrel,0.1754,0.2427,27,12,7,2,5.569,2.19,0.431,0.351,-0.597
barrel,0.0831,0.3076,29,10,10,9,8.516,0.814,0.063,0.115,1.978
barrel,0.3354,0.3038,33,18,10,10,8.87,1.929,0.28,0.09,-1.251
barrel,0.4438,0.0529,22,15,8,9,5.534,1.268,0.412,0.281,-2.744
barrel,0.4382,0.5279,25,10,12,5,1.434,1.039,0.286,0.275,-2.69
barrel,0.3278,0.7788,27,24,7,9,9.376,2.53,0.272,0.138,0.239
barrel,0.5085,0.7624,33,9,10,6,6.61,1.186,0.304,0.14,0.891
barrel,0.7129,0.4771,31,14,9,5,4.553,2.234,0.284,0.221,2.236
barrel,0.0556,0.293,33,15,9,6,10.628,0.916,0.161,0.22,0.176
barrel,0.4715,0.7329,21,15,8,9,3.143,2.024,0.301,0.12,-0.757
barrel,0.3708,0.4946,31,12,9,5,13.333,1.404,0.367,0.268,1.52
barrel,0.0791,0.7971,29,14,12,3,3.075,2.158,0.286,0.187,2.366
barrel,0.6465,0.2937,28,13,6,7,3.153,1.349,0.379,0.183,-2.039
barrel,0.1912,0.0471,28,14,5,8,5.376,1.626,0.423,0.182,-2.44
barrel,0.0517,0.4964,26,10,8,4,10.099,2.888,0.546,0.195,1.813
barrel,0.1386,0.3562,28,17,7,9,3.104,1.685,0.389,0.085,0.364
barrel,0.2961,0.7895,28,19,14,6,3.802,1.202,0.394,0.154,0.477
barrel,0.5715,0.5107,28,17,3,7,3.454,0.249,0.172,0.138,-3.136
barrel,0.3603,0.3671,18,12,7,8,2.762,1.557,0.356,0.183,2.327
barrel,0.0275,0.383,33,10,6,5,7.78,0.411,0.203,0.134,1.163
barrel,0.7506,0.5164,25,12,14,9,8.507,0.246,0.22,0.125,2.939
barrel,0.5768,0.1383,21,14,12,6,1.705,1.253,0.205,0.204,2.445
barrel,0.5619,0.7994,30,15,10,2,11.083,2.763,0.321,0.279,-1.482
barrel,0.7814,0.3709,25,13,9,5,4.517,1.674,0.309,0.312,-0.274
barrel,0.1884,0.3235,23,17,12,3,3.606,1.865,0.145,0.118,1.201
barrel,0.6382,0.6639,32,18,6,4,6.459,1.793,0.483,0.169,0.151
barrel,0.1727,0.5292,25,13,7,9,5.343,2.29,0.355,0.264,1.062
barrel,0.2523,0.4698,29,12,8,2,7.929,1.679,0.267,0.279,-0.379
barrel,0.9856,0.3506,20,10,7,8,11.142,0.521,0.271,0.091,1.268
barrel,0.2636,0.591,35,11,3,6,10.719,0.663,0.323,0.215,1.175
barrel,0.1715,0.0756,32,11,13,3,0.409,1.63,0.359,0.211,1.869
barrel,0.2682,0.4255,26,12,10,6,12.322,2.084,0.404,0.167,-1.811
barrel,0.0983,0.6242,27,10,8,8,6.091,2.16,0.332,0.35,2.115
barrel,0.3965,0.279,28,19,12,4,5.056,1.068,0.394,0.269,2.512
barrel,0.2927,0.8088,22,17,11,5,3.231,1.591,0.221,0.193,2.714
barrel,0.4285,0.1623,21,12,6,6,4.756,2.282,0.104,0.25,-1.937
barrel,0.2792,0.5491,39,15,11,13,5.038,1.134,0.203,0.218,2.12
barrel,0.2163,0.4688,33,12,8,4,10.862,2.112,0.473,0.297,-0.108
barrel,0.2949,0.0,22,23,12,7,8.504,1.119,0.375,0.273,2.807
barrel,0.3961,0.2519,20,13,6,13,5.734,2.358,0.206,0.09,1.14
barrel,0.0,0.4686,35,13,6,8,1.411,2.303,0.214,0.278,-0.556
barrel,0.7804,0.2329,30,19,8,2,1.919,1.848,0.344,0.16,1.411
barrel,0.392,0.5057,38,11,11,7,3.95,1.176,0.208,0.192,1.349
barrel,0.4604,0.4491,35,14,6,6,2.091,1.781,0.248,0.201,-1.55
barrel,0.1687,0.2594,25,10,13,14,8.264,1.842,0.148,0.14,-3.034
barrel,0.465,0.3078,26,11,9,3,2.447,1.72,0.239,0.24,2.02
barrel,0.3552,0.5754,24,16,8,8,6.525,2.243,0.126,0.173,-3.036
barrel,0.2724,0.1807,25,9,7,9,1.677,1.693,0.293,0.101,1.569
barrel,0.3281,0.4771,28,12,6,4,5.8,1.296,0.378,0.237,-2.639
barrel,0.1149,0.4258,32,9,8,10,1.426,0.526,0.248,0.161,3.007
barrel,0.6529,0.303,31,17,12,5,1.217,2.621,0.135,0.185,-2.429
barrel,0.1734,0.4064,34,14,6,7,6.087,1.023,0.265,0.28,2.165
barrel,0.5705,0.5691,26,19,15,6,3.461,1.348,0.236,0.09,-2.9
barrel,0.3435,0.1391,23,13,6,6,6.858,1.448,0.208,0.137,-2.136
barrel,0.3122,0.621,26,13,9,8,4.94,1.456,0.172,0.137,-2.006
barrel,0.3201,0.4161,19,10,8,3,4.357,1.531,0.229,0.291,0.58
barrel,0.3171,0.6225,24,12,3,3,2.499,0.35,0.356,0.285,0.626
barrel,0.4725,0.102,17,10,14,8,9.675,2.034,0.071,0.22,0.451
barrel,0.5408,0.3048,30,14,7,6,12.904,2.104,0.325,0.068,-2.299
barrel,0.2786,0.5487,23,9,11,7,4.863,1.301,0.368,0.282,-2.689
barrel,0.5207,0.1657,30,8,11,8,3.923,0.672,0.406,0.252,-2.586
barrel,0.6195,0.5886,26,10,8,7,5.507,1.853,0.39,0.175,2.036
barrel,0.4431,0.3387,23,7,9,7,3.727,1.05,0.295,0.258,2.393
barrel,0.3511,0.2814,34,14,6,3,10.177,1.574,0.389,0.166,1.695
barrel,0.5968,0.3366,18,10,7,5,5.192,2.509,0.403,0.003,-2.016
barrel,0.2557,0.6974,26,17,8,8,2.039,1.855,0.225,0.202,0.397
barrel,0.3834,0.5681,28,10,11,7,8.498,2.153,0.356,0.292,2.819
barrel,0.6965,0.2861,27,17,8,5,13.528,1.548,0.229,0.177,0.633
barrel,0.5187,0.2721,24,12,13,5,2.781,1.954,0.162,0.187,1.855
barrel,0.6349,0.7074,24,14,13,9,5.651,1.197,0.208,0.116,-0.007
barrel,0.5806,0.302,23,11,11,11,15.986,0.828,0.242,0.299,-1.121
barrel,0.5112,0.1726,20,10,10,4,4.481,1.358,0.366,0.138,0.845
barrel,0.5097,0.313,23,14,4,7,4.926,1.629,0.388,0.181,1.044
barrel,0.596,0.149,22,24,2,3,6.563,1.878,0.298,0.193,-0.688
barrel,0.0855,0.0683,30,8,9,9,11.634,1.518,0.326,0.204,0.277
barrel,0.3913,0.3179,34,10,5,2,4.084,2.154,0.189,0.197,2.939
barrel,0.5223,0.6691,23,14,10,5,5.856,2.345,0.328,0.135,-2.753
barrel,0.1119,0.6339,29,9,9,4,7.604,1.324,0.217,0.151,2.987
barrel,0.5058,0.1842,29,17,12,8,10.101,1.484,0.357,0.333,-1.48
barrel,0.6484,0.3416,25,25,12,3,6.871,0.833,0.128,0.163,1.209
barrel,0.0997,0.2331,33,9,11,5,1.839,2.604,0.233,0.312,-1.073
barrel,0.308,0.5706,30,10,9,4,4.157,1.777,0.135,0.229,1.723
barrel,0.394,0.2621,26,17,6,7,5.274,1.34,0.158,0.139,-1.668
barrel,0.4804,0.3468,28,10,11,4,8.921,0.482,0.535,0.043,-0.761
barrel,0.494,0.6573,22,9,14,6,7.209,1.171,0.197,0.037,1.838
barrel,0.7162,0.3848,21,18,7,9,3.789,2.4,0.445,0.214,2.896
barrel,0.5795,0.3429,30,7,9,5,7.552,1.7,0.308,0.084,-0.681
barrel,0.4593,0.4855,27,16,14,5,7.147,0.778,0.211,0.056,2.314
barrel,0.7618,0.3505,20,15,7,2,3.736,1.853,0.186,0.136,3.103
barrel,0.7175,0.471,28,15,6,5,9.025,1.835,0.379,0.261,-2.502
barrel,0.1687,0.403,28,19,12,8,15.611,2.271,0.308,0.226,0.205
barrel,0.5919,0.4392,37,11,9,5,6.199,2.118,0.24,0.277,0.369
barrel,0.6287,0.6108,31,12,10,4,7.865,1.619,0.279,0.231,-1.764
barrel,0.3198,0.0,29,14,4,9,2.873,1.528,0.33,0.089,-0.288
barrel,0.4197,0.1112,29,16,14,3,8.601,1.481,0.126,0.245,-1.657
barrel,0.0521,0.3968,23,5,7,6,6.695,1.645,0.291,0.28,2.836
barrel,0.2378,0.6887,36,14,12,6,6.066,1.238,0.339,0.11,2.385
barrel,0.1334,0.5131,39,16,5,8,2.572,0.837,0.521,0.344,-0.548
barrel,0.0711,0.3195,18,15,8,11,5.365,1.47,0.116,0.298,-3.059
barrel,0.297,0.279,28,18,3,6,13.72,1.127,0.399,0.044,-1.175
barrel,0.0555,0.4378,26,15,8,7,20.994,1.706,0.276,0.257,-1.965
barrel,0.4748,0.3471,30,13,11,6,3.947,1.632,0.144,0.12,1.887
barrel,0.7023,0.5389,23,15,13,4,10.692,2.112,0.239,0.116,-1.973
barrel,0.8362,0.2064,26,12,8,5,4.85,2.005,0.116,0.158,-0.579
barrel,0.2294,0.4307,27,13,4,4,2.789,2.349,0.212,0.208,1.876
barrel,0.7135,0.5225,25,12,6,9,9.612,1.224,0.185,0.146,1.204
barrel,0.5899,0.7291,31,20,8,4,5.03,1.662,0.37,0.193,2.452
barrel,0.4069,0.1292,29,10,11,7,4.562,1.813,0.335,0.268,-1.622
barrel,0.6109,0.2928,32,11,10,8,3.509,1.356,0.155,0.248,-1.091
barrel,0.6544,0.2501,18,9,6,11,3.908,1.884,0.117,0.277,-2.071
barrel,0.5291,0.1345,34,18,15,5,10.354,0.778,0.248,0.199,-0.304
barrel,0.7187,0.2151,33,13,9,7,3.656,2.081,0.285,0.27,2.392
barrel,0.2839,0.4733,28,9,14,3,5.88,1.71,0.348,0.206,1.756
barrel,0.2477,0.4338,22,9,7,5,7.008,1.843,0.366,0.166,1.121
barrel,0.1907,0.1934,33,16,10,5,3.132,0.76,0.353,0.127,0.228
barrel,0.1167,0.6437,24,16,5,3,19.628,1.167,0.123,0.218,-1.952
barrel,0.0985,0.8106,25,16,6,8,10.148,1.89,0.285,0.235,1.192
barrel,0.496,0.4185,19,5,9,4,2.583,1.402,0.356,0.117,0.345
barrel,0.6585,0.5273,18,10,9,5,7.912,1.795,0.322,0.277,3.036
barrel,0.2222,0.321,31,11,8,7,0.411,1.038,0.3,0.277,2.402
barrel,0.9242,0.274,31,15,12,7,12.487,1.915,0.177,0.269,1.381
barrel,0.3097,0.3266,29,13,12,6,7.784,1.401,0.372,0.23,0.196
barrel,0.5369,0.3189,29,12,5,5,4.97,2.719,0.314,0.145,-0.784
barrel,0.347,0.5119,30,17,8,4,21.943,1.484,0.279,0.165,1.415
barrel,0.4657,0.5635,21,19,10,3,11.055,2.215,0.158,0.258,0.202
barrel,0.4804,0.6738,32,8,8,7,5.156,1.64,0.333,0.265,1.638
barrel,0.3558,0.2372,22,15,13,3,14.251,1.336,0.26,0.199,0.116
barrel,0.313,0.2961,29,12,6,7,5.781,1.055,0.32,0.224,2.669
barrel,0.3168,0.098,18,9,9,5,7.399,1.27,0.143,0.147,1.056
barrel,0.3832,0.2759,25,22,5,7,5.195,1.059,0.44,0.307,1.305
barrel,0.3272,0.6541,26,12,13,3,2.954,0.208,0.271,0.087,-1.025
barrel,0.5035,0.321,25,14,9,2,7.19,0.812,0.297,0.193,1.489
barrel,0.2187,0.6147,37,21,5,9,8.752,1.125,0.389,0.092,-0.901
barrel,0.4398,0.6767,27,15,10,4,13.471,1.871,0.31,0.236,-2.38
barrel,0.7897,0.358,37,18,10,5,13.36,1.301,0.136,0.329,-0.11
barrel,0.2871,0.0954,23,17,10,8,6.334,0.926,0.352,0.282,1.534
barrel,0.5832,0.3893,33,14,10,7,3.825,0.882,0.365,0.157,-1.771
barrel,0.5961,0.7379,24,10,12,0,6.551,1.49,0.249,0.028,-2.395
barrel,0.4228,0.3489,24,10,8,4,8.24,2.337,0.416,0.043,-0.576
barrel,0.1553,0.6113,21,8,5,7,4.548,0.986,0.301,0.217,-1.606
barrel,0.4808,0.6954,29,17,11,9,9.437,2.21,0.378,0.341,2.062
barrel,0.401,0.2843,27,13,12,11,7.045,1.932,0.121,0.1,-1.367
barrel,0.1975,0.5054,31,18,3,5,9.574,2.194,0.422,0.257,0.601
barrel,0.5229,0.2251,24,16,10,9,8.157,1.761,0.2,0.234,1.604
barrel,0.6972,0.4055,31,8,8,7,8.17,1.632,0.175,0.226,0.901
barrel,0.9049,0.2251,21,11,9,6,2.376,1.157,0.354,0.298,-2.648
barrel,0.5534,0.0901,29,12,9,6,6.59,1.817,0.282,0.169,-1.057
barrel,0.0499,0.4625,27,12,14,7,10.384,1.889,0.412,0.056,-1.16
barrel,0.3527,0.6603,27,16,11,3,2.822,1.239,0.336,0.27,-2.462
barrel,0.532,0.3275,33,11,9,7,14.329,2.553,0.372,0.274,2.958
barrel,0.4715,0.5577,35,22,8,5,1.469,1.562,0.153,0.328,3.028
barrel,0.0602,0.4747,34,8,12,3,10.709,1.499,0.339,0.312,-1.734
barrel,0.881,0.6663,27,11,9,9,11.76,2.528,0.098,0.224,0.36
barrel,0.3087,0.6031,27,14,7,6,5.607,0.879,0.391,0.252,-1.886
barrel,0.2063,0.1363,27,16,16,6,4.77,2.1,0.277,0.19,1.686
barrel,0.8228,0.4018,30,13,6,7,9.078,1.842,0.302,0.075,3.091
barrel,0.7916,0.1886,18,12,9,8,1.906,2.422,0.219,0.167,-0.61
barrel,0.5472,0.3195,30,15,7,7,11.96,2.052,0.368,0.064,0.066
barrel,0.4068,0.2185,24,17,8,8,3.95,1.126,0.364,0.288,1.925
barrel,0.4404,0.4052,30,15,12,7,5.701,0.1,0.382,0.196,0.51
barrel,0.3372,0.15,25,16,8,8,8.937,2.221,0.205,0.333,-2.811
barrel,0.2932,0.2626,27,16,13,5,2.8,0.808,0.147,0.321,-0.325
barrel,0.61,0.1334,30,14,10,6,4.427,0.797,0.39,0.082,2.09
barrel,0.0417,0.273,17,11,12,3,12.565,2.852,0.234,0.165,-2.007
barrel,0.2308,0.4566,29,17,14,1,5.821,0.74,0.433,0.253,0.979
barrel,0.4244,0.3806,26,22,10,10,9.814,1.065,0.329,0.088,-2.001
barrel,0.1012,0.7895,30,10,8,12,8.792,1.083,0.361,0.25,2.261
barrel,0.6869,0.2182,29,19,10,4,4.472,1.314,0.418,0.143,2.262
barrel,0.6553,0.4265,34,7,8,10,4.312,1.584,0.167,0.132,0.366
barrel,0.7636,0.1002,24,13,10,8,8.371,1.781,0.397,0.174,0.498
barrel,0.5176,0.1057,25,10,15,8,22.824,1.996,0.164,0.158,2.247
barrel,0.4596,0.2079,26,14,9,8,3.417,2.355,0.433,0.315,-0.057
barrel,0.3844,0.358,33,9,11,6,6.82,1.106,0.315,0.225,-1.784
barrel,0.537,0.1583,21,11,9,4,2.459,1.61,0.305,0.154,-0.46
barrel,0.3967,0.4042,20,12,10,9,2.577,1.158,0.013,0.19,-2.969
barrel,0.1918,0.3342,26,13,9,5,5.97,2.434,0.226,0.078,-3.094
barrel,0.2858,0.6353,28,13,10,4,6.357,1.006,0.452,0.122,-1.404
barrel,0.1105,0.3664,32,18,10,5,3.792,2.251,0.31,0.166,0.82
barrel,0.1212,0.6945,28,15,12,10,4.26,1.293,0.462,0.273,-1.044
barrel,0.2185,0.5352,30,11,10,10,5.545,0.581,0.439,0.11,0.51
barrel,0.1419,0.5222,27,11,4,9,11.936,0.782,0.2,0.39,1.891
barrel,0.1355,0.218,32,12,14,7,5.615,2.071,0.37,0.324,2.221
barrel,0.4742,0.0647,30,20,13,4,4.291,3.188,0.298,0.195,-1.436
barrel,0.548,0.4492,32,19,3,11,3.165,1.96,0.154,0.242,2.088
barrel,0.503,0.4898,24,10,15,10,16.967,0.971,0.322,0.202,-2.465
barrel,0.2809,0.8494,30,20,12,5,20.648,1.552,0.043,0.282,2.905
barrel,0.5955,0.29,29,14,9,2,3.847,1.684,0.301,0.137,1.94
